ticker,l1_sector,l2_sector
NVDA,半導體,GPU
MSFT,軟體_雲端,Cloud_Platform
AMZN,軟體_雲端,E-commerce_Cloud
META,軟體_雲端,Social_AI
GOOGL,軟體_雲端,Search_Cloud
AVGO,半導體,Networking_Custom_ASIC
AMD,半導體,CPU_GPU
ARM,半導體,IP_Design
QCOM,半導體,Mobile_SoC
ASML,半導體,Lithography
AMAT,半導體,Wafer_Processing
KLAC,半導體,Inspection
LRCX,半導體,Etch_Deposition
MRVL,半導體,Networking_AI
SMCI,AI_基礎設施,Server_Systems
CRWD,軟體_雲端,Endpoint_Security
PANW,軟體_雲端,Network_Security
NET,軟體_雲端,CDN_Security
ZS,軟體_雲端,Cloud_Security
DDOG,軟體_雲端,Observability
SNOW,軟體_雲端,Data_Warehouse
MDB,軟體_雲端,Database
PLTR,軟體_雲端,Data_AI
TTD,軟體_雲端,AdTech
AAPL,消費電子,Personal_Devices
BOXX,其他,Cash_Equivalent
2330.TW,半導體,Foundry
2454.TW,半導體,Mobile_SoC
006208.TW,其他,TW_Broad_ETF
